height,safe,safe unc,shim,shim unc,reg,reg unc
0,2.255708057708988,0.0802016466527799,2.5591392381744744,0.08391177035322116,1.5044119027724052,0.08393172922561697
10,2.0748836058218303,0.078447405376092,2.4228918729392,0.08226743300367745,1.3498720048656054,0.0784783238901636
20,2.0851673267933326,0.08089055097584133,2.2938347033262354,0.08066546529320644,1.4333825866632646,0.08153776824509336
30,1.7922863439761043,0.0728550709533435,1.970849786889131,0.07895521986321959,1.12857199863061,0.0852263433058459
40,1.491964283267354,0.08043408755359809,1.640797167736012,0.08631552356502034,0.9183901630603173,0.07963184379605638
50,1.2056923274176592,0.07545458153647303,1.2859144739605681,0.08762836224643976,0.8787191504876388,0.08111050618803746
60,0.8818428437387072,0.08160810233429272,0.9467405744453552,0.08111381003791163,0.4633890943802291,0.08079202500407842
70,0.5111321825040708,0.0765012360290106,0.6086294257263078,0.08160222342802136,0.41956300406583724,0.08545796522979901
80,0.4412900614567891,0.07490631805032083,0.32430873457366155,0.08063216974014825,0.10932484429931912,0.08601396224070938
90,0.19812175318944794,0.07944732763853912,0.06229525987973548,0.08346203719076443,0.05463413225765874,0.08678260096854626
100,0.0,0,0.0,0,0.0,0
