height,safe,safe unc,shim,shim unc,reg,reg unc
0,2.560564097242191,0.04868705532124296,3.0730948925888875,0.049963867098010234,1.8522048297376474,0.051349291519947673
5,2.537765049209033,0.050740708810370586,3.049259766804564,0.054751024139964556,1.8978335793617476,0.056165372115446005
10,2.4611522226248392,0.05359555188738135,3.009904435337267,0.05261162043117612,1.9279294413364485,0.05476065229593847
15,2.4777073843844573,0.05435094618271234,2.884791260207987,0.05324040733254847,1.7807329171049662,0.05755606204550507
20,2.3423203577618232,0.05427687129792488,2.78986960473265,0.05249456296476016,1.6484127321369006,0.05460776561674746
25,2.181565452992842,0.05126600672443488,2.6796943992711437,0.05243604518861817,1.616418193689654,0.056730087440246116
30,2.0326013545318777,0.05048317688671997,2.489767618309962,0.05302791340092324,1.5226150215290122,0.05964977714294018
35,1.89123442462482,0.050411337371751866,2.3005508655280082,0.05292642142966955,1.366318583749406,0.05586755360042031
40,1.6799224115062092,0.05317540939697558,2.0073900842418233,0.0541765034112127,1.24941183482624,0.05509148793968625
45,1.4390670779970054,0.05231652154016256,1.8442451932354493,0.053380141256969424,1.1931058741836618,0.05366868355353883
50,1.3124961248926195,0.050819133264700576,1.6574317602324502,0.0561535011686025,1.0857864626573208,0.057157336374801256
55,1.1106431468506708,0.05071589139793514,1.4602660775197185,0.05317298440630745,0.8830141553927787,0.054191262623681895
60,0.8634725727173019,0.04920455284673173,1.1999116759224782,0.053735308551457514,0.7357772760353875,0.055516269845906296
65,0.8113809282414133,0.051270286378999476,0.9786775355970896,0.05291428765975743,0.6678888189144904,0.05271036010255756
70,0.5517337296885505,0.05257441385273095,0.8475966504352334,0.05425255080749782,0.43956556890618764,0.051925169178215075
75,0.49200639146198266,0.052542785322006326,0.6397676409143759,0.04938571192058136,0.40530568753029556,0.05676956326386046
80,0.2142214156361435,0.05025990450738441,0.4200205889158304,0.054018127423964786,0.21930060187013273,0.053148397561274464
85,0.13908941809807374,0.04884674582580963,0.41018922559384974,0.051244733428920934,0.20023640949732238,0.05246433705145228
90,0.0798548111765091,0.050893792564466536,0.1621027082728363,0.05458933174482531,0.09200922016114724,0.052407563917785775
95,0.013792886764044134,0.05157062807798574,0.12103849294929968,0.053854806829074335,0.09901685641179199,0.05376789989943275
100,0.0,0,0.0,0,0.0,0
